,,26/2,27/2,28/2,29/2,1/3,2/3,3/3,4/3,5/3,6/3,7/3,8/3,9/3,10/3,11/3,12/3,13/3,14/3,15/3,16/3,17/3,18/3,19/3,20/3,21/3,22/3,23/3,24/3,25/3,26/3,27/3,28/3,29/3,30/3,31/3,1/4,2/4,3/4,4/4,5/4,6/4,7/4,8/4,9/4,10/4,11/4,12/4,13/4,14/4,15/4,16/4,17/4,18/4,19/4,20/4,21/4,22/4,23/4,24/4,25/4,26/4,27/4,28/4,29/4,30/4,1/5,2/5,3/5,4/5,5/5,6/5,7/5,8/5,9/5,10/5,11/5,12/5,13/5,14/5,15/5,16/5,17/5,18/5,19/5,20/5,21/5,22/5,23/5,24/5,25/5,26/5,27/5,28/5,29/5,30/5,31/5,1/6,2/6,3/6,4/6,5/6,6/6,7/6,8/6,9/6,10/6,11/6,12/6,13/6,14/6,15/6,16/6,17/6,18/6,19/6,20/6,21/6,22/6,23/6,24/6,25/6,26/6,27/6,28/6,29/6,30/6,1/7,2/7,3/7,4/7,5/7,6/7,7/7,8/7,9/7,10/7,11/7,12/7,13/7,14/7,15/7,16/7,17/7,18/7,19/7,20/7,21/7,22/7,23/7,24/7,25/7,26/7,27/7,28/7,29/7,30/7,31/7,1/8,2/8,3/8,4/8,5/8,6/8,7/8,8/8,9/8,10/8,11/8,12/8,13/8,14/8,15/8,16/8,17/8,18/8,19/8,20/8,21/8,22/8,23/8,24/8,25/8,26/8,27/8,28/8,29/8,30/8,31/8,1/9,2/9,3/9,4/9,5/9,6/9,7/9,8/9,9/9,10/9,11/9,12/9,13/9,14/9,15/9,16/9,17/9,18/9,19/9,20/9,21/9,22/9,23/9,24/9,25/9,26/9,27/9,28/9,29/9,30/9
Bahia,BA,0,0,0,0,0,0,0,0,0,1,2,2,2,2,2,2,2,2,2,2,3,3,30,33,41,49,63,76,84,104,115,128,154,176,213,246,267,282,332,401,431,456,497,559,604,635,673,723,759,807,951,1059,1193,1230,1341,1489,1644,1789,1962,2081,2209,2354,2540,2646,2851,3085,3315,3495,3734,4040,4301,4528,4818,5174,5558,5808,6204,6547,6955,8128,8314,8443,8581,11013,11197,11941,12557,13000,13899,14204,14566,15070,15963,16917,17626,18392,18898,21430,22451,23463,26419,27396,28250,28715,30481,32685,33891,34665,35788,36401,37620,39206,40926,41577,43922,45304,46279,47086,49084,51931,54291,56422,65244,68495,69467,73307,76485,79349,82314,85485,87048,88279,91954,95536,98319,101186,104188,105763,106891,110029,112993,116373,118657,120238,122169,123292,126844,133245,138358,142767,146399,148179,149109,153313,157334,161630,166154,168926,170476,171391,175389,179737,183690,187892,191401,193029,194097,198767,203020,206955,210993,214379,216030,217115,221041,224659,228596,229743,234204,236050,237208,240939,245021,247853,250977,254790,256062,256727,259418,262299,265739,268137,270177,271225,271963,272814,275088,277327,279509,281665,282517,283235,285448,287685,289655,292019,294210,295303,295996,297805,299415,301248,303058,305186,306036,306629,308252,310526
Ceará,CE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,9,20,55,68,112,163,182,200,235,282,314,348,372,390,444,550,627,730,823,1013,1051,1291,1425,1478,1582,1676,1800,2005,2157,2386,2684,3034,3252,3482,3716,3910,4598,4800,5421,5833,6726,6918,7267,7606,7879,8309,8370,11040,11470,12304,13888,14956,15879,16692,17599,18412,19156,21077,22490,23795,24255,26363,28112,30560,31413,34573,35122,35595,36185,37021,37275,37821,38395,46506,48489,50504,53073,56056,59795,61595,63575,64271,65605,68384,71402,73879,75705,76429,76748,79462,81289,84967,87273,89863,92156,92866,94158,97528,99578,102126,104422,106628,107568,108225,108699,113017,115524,118041,120952,121464,122477,124952,128471,131000,133546,135945,136785,137206,139437,141248,144000,145938,146544,146972,147566,148986,153108,156242,158824,161597,162085,162429,165550,169072,171468,173882,175928,176580,176961,179341,181443,183301,185409,188244,188542,188657,190550,192422,194081,196144,197381,197619,198202,199258,201201,202422,202999,204587,205441,205564,207386,208782,210727,212484,214094,214457,214953,216333,218396,219672,230105,222179,222372,222445,222577,223622,224759,225878,227075,227449,227799,229072,230406,231438,232602,233600,233818,234120,235222,236100,237108,237147,238568,238935,239062,239497,241159
Maranhão,MA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,8,8,10,13,14,16,23,31,54,71,81,88,96,133,172,230,273,293,344,398,445,478,630,695,797,1040,1205,1320,1396,1604,1757,1951,2105,2223,2410,2528,2804,3190,3506,3805,4040,4227,4530,5028,5389,5909,6765,7599,8144,8526,9112,9801,10739,11592,12492,13238,14198,15114,16058,17212,18767,21191,22786,24278,26145,27979,30482,32620,34639,35297,36625,38174,40629,43313,45470,47593,49371,52069,53508,55680,57605,58859,59850,60592,62711,64735,66091,68500,69673,70059,70689,72021,73314,74925,76698,78115,78512,78969,80451,83256,86025,88214,89057,89714,90251,92088,92939,95323,96718,98398,98952,99830,101467,102469,104126,105183,106092,106325,106906,108154,109731,111488,112683,113563,113891,114585,115988,117694,119262,120661,121581,121953,122482,123887,125459,127065,128846,129700,130136,130566,132060,133265,134193,135324,136280,136853,137408,139185,140571,141860,143103,143873,144400,144895,145921,147676,148923,150144,150895,151212,151615,152681,154468,155717,157052,157844,158050,158310,159163,160239,160968,161994,162476,162583,162998,163802,164770,165499,166580,167333,167657,167948,168913,169690,170186,170923,171480,171755,172176,172845,173564
Paraíba,PB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,3,3,5,9,14,14,15,17,20,21,29,32,34,35,36,41,55,79,85,101,111,136,151,165,195,205,236,245,263,301,345,386,447,499,543,633,699,814,926,1034,1169,1219,1361,1493,1657,2031,2156,2341,2525,2777,3045,3361,3739,4063,4347,4786,5300,5838,6238,6882,7508,7823,8016,8919,10209,11132,12011,12862,13162,13695,14859,16018,17579,18579,19787,20310,20951,22452,24032,25370,26556,27454,28013,28668,30128,31712,31760,35093,36521,36784,37253,38999,39912,40824,42832,44242,44679,45057,46957,48175,49536,50765,52306,52728,53151,54802,56344,57614,59118,60421,60784,61108,62462,63939,65423,66347,66971,67382,67680,68844,70972,73104,74550,75723,76153,76693,78175,79898,81108,82794,83461,84008,84211,85760,87071,87867,89117,89893,90082,90366,91819,92897,93794,94660,95588,96033,96223,97497,98494,99445,100290,100970,101132,101303,102208,103213,104096,104803,105531,105661,105778,106605,107384,108182,108925,109530,109673,109706,109860,110727,111495,112018,112706,112961,113163,113903,114582,115359,115966,116588,116736,116879,117495,118048,118567,119134,119731,119783,119987,120654,121267
Pernambuco,PE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,16,16,28,30,30,37,42,42,46,48,56,68,73,78,87,95,106,136,176,201,223,352,401,555,684,816,960,1154,1284,1484,1683,2006,2193,2459,2690,2908,3298,3519,3999,4507,4898,5358,5724,6194,6876,7334,8145,8643,8863,9325,9881,10824,11587,12470,13275,13768,14309,14901,15588,16209,18488,19452,20094,21242,22560,23911,25760,26786,27759,28366,28854,29919,30713,32255,33427,34450,34900,35508,36463,37507,38511,39361,40242,40705,41010,41935,42994,43872,44671,45261,45507,46427,47446,48626,49720,51118,52113,52494,52831,54022,55136,55804,57089,58107,58476,58858,59705,61119,62362,63457,65129,65642,66151,67604,68767,70100,71370,72470,72901,73576,74960,76091,77423,78509,79452,80115,80441,81382,83240,85042,86752,88466,89132,89678,91536,93373,95005,96746,97970,98401,98833,100321,101395,102872,104113,105134,105381,105982,107375,108842,110409,111773,112958,113183,113788,115217,116359,117431,118027,119140,119357,119958,121078,122147,123146,124151,125094,125539,127287,128724,130199,130199,131961,132152,132420,132590,133579,134619,135643,136413,136672,136853,137869,138568,139325,140235,141042,141517,141777,142488,143165,143703,144268,144940,145016,145096,146325,147171
Piauí,PI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,4,6,6,8,9,9,11,14,16,18,18,19,21,22,23,23,28,31,38,40,41,44,50,58,75,91,102,123,145,158,186,206,217,256,297,331,364,408,454,513,600,665,742,784,875,949,1051,1131,1233,1278,1332,1443,1612,1784,1905,2085,2252,2287,2440,2637,2852,3074,3258,3390,3550,3720,3966,4243,4503,4745,4931,5119,5506,5828,6064,6717,7105,7478,7621,7927,8359,8823,9337,9825,10153,10357,10881,11559,12099,12567,13813,14264,14476,15269,16227,17080,18023,18665,19158,19753,20422,22059,23307,24376,25561,26079,26511,27514,28411,29745,31269,32465,32963,33359,34156,35445,36542,37057,38568,39296,39606,40276,41815,43179,44349,45389,46044,46584,47551,48962,50198,51477,52458,52993,53224,54443,55919,57100,58390,59571,59982,60178,61144,62465,63662,64595,65638,66078,66315,67226,68475,69839,70536,71510,71899,72165,72956,74096,75160,76033,76916,77265,77405,77859,78922,79719,80750,81626,82006,82282,82564,83502,84508,85225,86085,86396,86538,87213,87959,88671,89443,90061,90370,90617,91355,92030,92801,93399,94179,94540,94733,95227,96086
Rio Grande do Norte,RN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,6,9,13,13,14,19,28,45,68,77,82,92,105,176,212,242,246,254,261,261,263,289,302,339,376,399,400,463,516,531,595,608,646,708,754,781,825,832,857,1086,1177,1297,1366,1392,1421,1536,1574,1739,1821,1919,1928,1989,2033,2367,2537,2786,3004,3137,3184,3483,3796,4060,4251,4599,4697,4759,5472,5630,5630,6463,7402,8051,7964,8233,9149,9282,9440,9449,9452,10888,11027,11568,13234,13501,13789,14171,14214,15212,15212,15889,16039,19206,19290,19957,20075,21774,22665,23731,24253,24456,29721,30287,31899,32897,33421,34257,34645,34984,35820,36511,37060,38265,38616,39421,39800,40341,40654,40978,41303,43451,43766,43957,44267,45184,46056,46683,46926,47099,47291,48374,49051,49667,50416,51557,51845,52030,52566,53490,54106,54717,55150,55290,55420,57921,56572,57072,57467,57660,57720,57898,58307,58667,59138,59191,59393,59582,59649,60161,60442,60893,61219,61507,61649,61748,61991,62432,62855,63289,63693,63801,63810,63879,64135,64519,64878,65045,65300,65360,65647,65933,66322,66655,66963,67184,67217,67459,67761,68059,68331,68500,68627,68765,69013,69433
Sergipe,SE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,5,6,6,10,10,10,15,16,16,16,16,16,16,19,20,23,25,27,32,32,36,36,39,42,42,44,44,45,46,48,53,71,83,86,92,117,124,144,153,159,197,280,337,447,517,601,730,772,898,998,1214,1438,1588,1771,1800,2032,2268,2494,2868,3135,3343,3566,3967,4277,4734,4922,5131,5314,5448,5735,5912,6156,6462,6805,6999,7233,7555,7989,8200,8577,8972,9290,9727,10126,10615,11056,11534,12866,13968,15675,16310,16807,17338,17808,18449,18985,19384,19883,20353,21081,21908,23319,24421,24817,25411,25915,26612,28186,29761,30217,30718,31640,32490,33416,34713,36046,37631,38221,39167,40139,41226,41888,43072,45243,46059,47110,48140,49397,51132,52264,52603,53612,55009,56214,57684,58713,59724,60035,60479,61069,61986,62844,63728,64271,64693,64974,65455,65865,66810,67225,67701,67997,68313,68699,69067,69502,69845,70252,70472,70606,70926,71222,71599,72039,72280,72417,72528,72721,72931,73182,73383,73631,73740,73846,73971,74121,74386,74645,74765,74833,75046,75203,75342,75560,75664,75772,75873,76073,76193,76353,76603,76727,76917,77083,77172,77280,77440
Nordeste,(NE),0,0,0,0,0,0,0,0,0,1,2,3,3,3,3,5,6,6,7,7,30,35,90,134,168,231,308,354,390,457,539,624,720,790,875,1007,1180,1399,1642,1880,2167,2417,2825,3242,3528,3882,4246,4716,5213,5831,6508,7469,8507,9300,10088,10868,11969,13381,14665,16293,17531,19427,20665,22444,24518,26370,28612,30022,33598,35641,38231,42157,45724,49356,52700,55308,58316,61769,66569,72076,78069,81537,86130,94071,100416,106123,114533,119801,125882,129996,135623,141706,147692,156106,171216,179401,184447,194348,204535,215616,227088,235933,242592,249289,260669,272280,284127,292806,300568,306764,315057,325796,338231,346286,360418,373938,379297,384892,395938,408341,420193,432704,451076,459708,469602,480354,497330,511697,526083,540091,546959,552582,566445,580628,594435,608874,622082,630099,635612,647640,659711,673493,683049,693028,700683,705488,715873,735257,753593,769743,783343,789896,795639,810780,827885,843369,858827,871373,878100,881957,894639,909620,922461,936887,949091,954501,957876,972633,983632,996038,1008049,1018476,1024022,1027595,1038702,1050491,1061783,1067977,1078286,1083973,1087242,1097349,1108847,1119153,1129019,1138647,1142454,1145097,1154153,1165106,1175062,1191943,1191103,1193736,1195568,1198284,1206105,1213911,1221230,1228258,1230941,1233324,1240752,1248228,1254864,1262462,1269519,1272966,1275347,1281938,1288121,1294028,1298924,1305625,1308069,1310013,1315642,1323525
Espirito Santo,ES,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,9,11,13,26,26,29,33,39,39,47,53,60,72,84,96,120,139,153,166,194,209,227,273,300,349,383,430,463,557,754,856,952,1099,1168,1212,1313,1363,1381,1595,1703,1796,1874,2107,2465,2662,2985,3086,3226,3402,3568,3838,4242,4412,4599,4819,5087,5401,5813,6198,6595,6744,7157,7693,8092,8878,9520,9918,10007,10365,10889,11484,12203,12903,13437,13690,14069,15151,16121,16894,18109,18950,19619,20659,21964,23344,24229,25257,25932,26441,27581,28952,30441,31671,33142,34216,34858,35784,36827,38481,40246,41652,41652,43683,45097,46893,48821,50240,51689,52823,53393,54547,56698,58537,60009,61356,62236,62799,63879,65213,66352,68118,69461,70131,70609,71703,72601,73688,74608,75854,76598,77200,78037,79464,80569,81885,83292,83814,84238,85215,86209,87242,88543,89923,91146,91791,93069,94476,95753,96949,98106,98765,99580,100859,101874,103090,104037,104911,105613,105892,106493,107191,107909,108662,109493,110025,110351,111261,111979,112825,113759,114700,115172,115505,115793,116578,117270,118138,118813,119354,119548,120251,120916,121708,122471,123272,123720,124291,125098,125867,126606,127328,128265,128710,129192,129796,130636,131490
Minas Gerais,MG,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,2,2,5,7,15,29,35,38,83,128,130,133,153,189,205,231,261,275,314,370,397,430,498,525,559,614,655,698,750,806,815,884,903,958,1021,1077,1154,1189,1230,1283,1308,1419,1481,1548,1586,1649,1758,1827,1935,2023,2118,2347,2452,2605,2770,2943,3123,3237,3320,3435,3733,3950,4196,4474,4611,4695,4977,5286,5596,5995,6338,6668,6962,7516,8011,8686,9232,9630,10464,10670,10939,12010,13034,13995,14939,15703,15883,16102,17501,18448,20106,20614,21381,21728,22024,23347,24906,26052,27305,27641,28918,29897,31343,32769,38891,40966,42741,43864,45001,47584,50707,53351,55958,58283,59626,60897,64035,66864,70086,73813,75851,76822,78643,82010,84470,87271,90875,92972,94132,95566,98741,102568,106812,110093,112571,113718,116645,119394,123415,127106,129985,132801,133743,135728,139661,142828,147323,150723,153927,155075,156551,160485,164915,168428,171514,174402,175715,177787,181158,185062,188623,191507,194614,195920,198736,201973,205942,209465,212565,215050,216557,218781,222048,224987,228013,231878,234804,236012,236663,238515,242533,246149,250190,252263,253997,255606,258595,262001,265185,268009,270053,271194,273233,276314,278901,283479,286350,288619,290137,292291,295169
Rio de Janeiro,RJ,0,0,0,0,0,0,0,0,1,1,2,3,8,8,13,16,16,22,24,31,33,45,65,109,119,186,233,305,370,421,493,558,600,657,708,832,992,1074,1246,1394,1461,1688,1938,2216,2464,2607,2855,3231,3410,3743,3944,4349,4543,4765,4899,5306,5552,6172,6282,6828,7111,7944,8504,8869,9453,10166,10546,11139,11721,12391,13295,14156,15741,16929,17062,17939,18486,18728,19467,19987,21601,22238,26665,27805,30372,32089,33589,34533,37912,39298,40024,42398,44886,47953,52420,53388,54530,56732,59240,60932,63066,64533,67756,69499,72979,74373,75775,77784,78836,79572,80946,83343,86963,87317,93378,95537,96133,97572,100869,103493,105897,108497,108803,111298,111883,112611,115278,116823,118956,120440,121292,121879,124086,126329,128324,129443,129675,129684,132044,132822,134449,134573,135230,135230,138524,141005,145121,148623,151549,154879,156293,156325,157834,159639,161647,163642,165495,167213,167225,168064,168911,172679,174064,175696,178524,178850,180016,182563,185610,188085,189891,190614,194279,194651,199480,202993,205916,207036,210464,210948,211360,214003,216675,219198,219198,222957,223302,223631,226800,228332,230271,232489,232747,232818,233052,233373,233873,234813,240453,240776,242491,242810,244418,246182,246843,249798,251261,251909,252046,253756,254885,257985,259488,259670,261860,262006,263699,264783
São Paulo,SP,1,1,1,2,2,2,2,3,6,10,13,16,16,19,30,42,56,65,136,152,164,240,286,396,459,631,745,810,862,1052,1223,1406,1451,1517,2339,2981,3506,4048,4466,4620,4866,5682,6708,7480,8216,8419,8755,8895,9371,11043,11568,12841,13894,14267,14580,15385,15914,16740,17826,20004,20715,21696,24041,26158,28698,30374,31174,31772,32187,34053,37853,39928,41830,44411,45444,46131,47719,51097,54286,58378,61183,62345,63066,65995,69859,73739,76871,80558,82161,83625,86017,89483,95865,101556,107142,109698,111296,118295,123483,129200,134565,140549,143073,144593,150138,156316,162520,167900,172875,178202,181460,190285,191517,192628,211658,215793,219185,221973,229475,238822,248587,258508,265581,271737,275145,281380,289935,302179,310702,312530,320179,323070,332708,341365,349715,359110,366890,371997,374607,386607,393176,402048,407415,412027,415049,416434,422669,439446,452007,463218,479481,483982,487654,487654,514197,529006,542304,552318,558685,560218,575589,585265,598670,608379,621731,627126,628415,639562,655181,674455,686122,697530,699493,702665,711530,721377,730828,735960,749244,754129,756480,765670,776135,784453,796209,801422,803404,804342,814375,826331,837978,845016,853085,855722,857330,858783,866576,874754,882809,890690,892257,893349,901271,909428,916821,924532,931673,935300,937332,945422,951973,958240,964921,970888,972237,973142,979519,985628
Sudeste,(SE),1,1,1,2,2,2,2,3,7,12,16,21,26,29,45,60,75,90,163,189,205,309,391,553,642,926,1135,1278,1404,1665,1952,2222,2342,2507,3406,4223,4988,5658,6295,6678,7046,8138,9487,10624,11678,12125,12799,13371,14128,16246,17224,19067,20466,21285,21836,23133,24062,25583,26908,29908,31077,33022,36068,38892,42443,45137,46728,48115,49481,52298,57321,60692,64756,68875,70342,72209,74727,78959,83516,88759,93853,95938,101583,106470,113609,120302,125975,131347,136748,140250,144446,151376,161640,171644,182629,187240,190565,201117,210854,220060,229735,238971,246151,250634,261183,271534,280972,291047,298257,305596,311715,324604,332268,336522,364230,372851,377817,384247,397068,412139,427499,447548,457002,469459,475989,485885,501618,519949,534698,541751,553147,559122,574389,590266,604912,619995,632614,640331,647352,663285,675987,689209,699377,708263,717154,723274,735957,760498,780732,800763,822465,830078,837243,843402,875807,897948,918197,933330,942949,947240,966437,984847,1004105,1021321,1042124,1051694,1056575,1073152,1097029,1124404,1142547,1158423,1167754,1173890,1190671,1208618,1225843,1236530,1256828,1265583,1270253,1285600,1302692,1318255,1334365,1346969,1352107,1355791,1371935,1389536,1406995,1420218,1432882,1438849,1442187,1445397,1456234,1470238,1488224,1501010,1506559,1510407,1522211,1535913,1548136,1562787,1574663,1581553,1585670,1598278,1609778,1622454,1636153,1645618,1651908,1655081,1666145,1677070
Paraná,PR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,6,6,6,6,13,23,32,43,50,56,65,81,102,119,133,148,155,179,224,252,301,395,438,458,503,539,609,643,676,738,756,791,803,832,874,945,987,1007,1024,1063,1082,1119,1140,1156,1186,1271,1348,1407,1447,1492,1514,1562,1588,1627,1656,1711,1785,1835,1849,1906,1996,2063,2139,2242,2286,2360,2481,2616,2810,2939,3099,3212,3331,3512,3712,3984,4236,4473,4687,4835,5163,5494,5820,6348,6605,6897,7031,7314,7831,8457,8705,9233,9583,9716,10557,11085,11919,12785,13662,14501,15124,15853,16963,17821,18672,19819,20742,21326,22877,24225,26304,28166,30570,31459,32769,34308,35715,37424,39512,40797,42537,43582,45363,47124,49405,51321,53553,54629,55909,57538,59927,62004,64259,65593,67220,68001,69392,70920,73488,76112,77930,79605,80865,82718,85317,87269,88899,88899,89966,94124,95943,97785,99667,101844,103771,105104,106379,108237,109896,112245,114588,116848,117959,119004,120537,122241,124074,126964,128967,130603,131906,133574,135609,137865,139780,141648,143074,143853,145257,146333,148333,150668,152913,154171,154820,155820,157330,159799,161922,163479,164888,165494,167678,168923,170508,171932,174011,175143,175982,177298,178898
Rio Grande do Sul,RS,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,4,4,6,6,6,10,19,28,37,60,72,86,98,123,168,195,197,226,241,274,306,334,396,410,418,481,508,555,618,636,640,653,664,700,747,780,802,831,854,889,904,923,994,1061,1096,1166,1228,1286,1368,1466,1529,1619,1666,1711,1815,2050,2129,2447,2493,2542,2576,2917,2917,2997,3597,3695,3735,3735,3750,4973,5473,5918,6336,6470,6559,6785,7048,8234,8234,9242,9332,9332,9919,10398,11010,11583,12037,12135,12250,12802,13619,14168,14384,14627,14661,15438,16471,17128,17822,18587,19138,19348,19710,20864,22009,23060,24114,25000,25243,25659,26941,28171,29195,30371,31619,31955,32401,33800,35557,36434,37490,38720,39240,39656,40993,42239,45344,46710,46847,47113,47449,49840,53073,54841,57007,59118,59779,60044,62347,64496,66473,66692,70456,71040,71479,73618,76563,78837,79026,83595,83991,84034,87415,90049,92560,95142,97445,97877,98007,101217,103891,104068,104335,108839,109873,109953,112763,115984,118315,120739,124416,124482,125813,127799,131461,134610,137217,143485,143914,143952,144502,147576,151392,153475,156264,156903,157907,160940,164373,167781,170749,174140,174777,175349,177485,179436,181217,183115,185119,185516,185778,188253,190572
Santa Catarina,SC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,6,7,7,10,20,21,51,57,68,107,109,122,149,184,194,197,219,235,247,281,334,357,379,417,457,501,693,732,768,777,826,853,884,926,962,975,1025,1063,1091,1115,1170,1209,1235,1337,1476,1995,2085,2104,2346,2346,2519,2623,2917,3082,3205,3372,3429,3529,3733,3828,4332,4562,4678,4776,5175,5413,5499,5610,6458,6607,6696,6875,7016,7372,8000,8530,8778,9037,9498,9660,10034,10532,10846,11285,11565,11565,12192,12594,12953,13165,13296,13360,13960,14402,15015,15573,16322,17108,17582,17937,19244,20921,21951,22947,23808,24364,25056,26354,27279,28575,30261,31931,32969,33822,35342,36810,38408,40106,42026,43031,43815,46050,47976,49781,51549,52531,53336,54414,56475,59556,62282,65017,67333,68730,70138,73771,77001,80904,84073,86922,87982,88889,92157,95410,98634,101582,104749,105935,106928,109522,112401,115032,118183,120001,120880,121666,124313,126850,129072,130349,132008,132492,133533,135690,137560,139638,141692,146404,146864,177777,180474,182522,184204,186596,188361,189028,189477,190397,192982,194176,195701,197064,197745,198640,200241,201682,202934,204166,205250,205620,206332,207692,208900,210048,211105,212091,212584,213066,214261,215478
Sul,(S),0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,10,12,16,18,19,23,42,71,90,154,179,210,270,313,392,463,514,568,593,672,765,833,978,1139,1213,1318,1428,1551,1728,1972,2048,2159,2197,2317,2403,2496,2602,2738,2816,2921,2991,3077,3191,3350,3445,3557,3751,4033,4711,4958,5080,5457,5526,5792,6026,6594,6867,7363,7650,7806,7954,8556,8741,9392,10298,10615,10797,11270,11644,13088,13893,15315,16042,16378,16765,17313,18132,20218,21000,22493,23056,23665,24742,25926,27362,28777,29927,30597,30846,32308,34044,35578,36254,37156,37604,39114,41430,43228,45314,47694,49908,51431,52771,55961,59893,62832,65733,68627,70349,72041,76172,79675,84074,88798,94120,96383,98992,103450,108082,112266,117108,121543,124808,127053,132406,137339,144530,149580,152931,155078,157772,163853,172556,179127,186283,192044,195729,198183,205510,212417,220865,226877,235308,238627,241233,248493,257290,264740,269507,277243,279892,285086,292880,300235,307259,315169,321217,323861,326052,333767,340637,345385,349272,357695,360324,362490,368990,375785,382027,389395,399787,401949,435496,441847,449592,456679,463593,473494,476016,477282,480156,486891,493901,499844,506241,508819,511367,517001,523385,530514,536837,542869,545285,547175,552855,557259,561773,566152,571221,573243,574826,579812,584948
Distrito Federal,DF,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,2,6,8,13,22,26,42,87,100,117,133,160,160,200,230,260,289,312,332,355,370,402,454,468,473,492,509,527,555,579,614,638,651,682,716,746,762,827,872,881,946,963,989,1013,1066,1146,1213,1275,1356,1466,1566,1649,1768,1818,1906,2258,2442,2576,2682,2783,2979,3192,3416,3787,4140,4368,4619,4853,5161,5542,5948,6251,6638,6930,7210,7761,8300,8722,9474,9780,10510,11256,12020,12923,14208,15850,16623,16629,18090,19433,20507,21396,21959,22871,23684,25380,27140,28521,30902,32238,33227,34148,35368,37254,38871,41326,42766,44905,47071,49218,50676,52281,53996,55760,57854,60383,62694,64314,65677,67297,68406,70712,72284,73654,75379,77621,79400,81163,82412,84287,86076,87801,90023,92414,94187,96332,98480,100726,102342,104442,106292,107922,110028,112044,113924,115966,118000,119903,121824,123057,126069,127484,129184,131170,133166,135014,136467,138735,140170,141762,143759,145452,147127,148998,150519,153690,155253,156863,158180,159526,160796,162042,163498,164649,165903,167200,168605,169617,170806,171739,172708,173631,174549,175646,176837,177921,178747,179823,180844,181919,183096,183749,184555,185349,186052,186945,187895,188608,189513,190505,191317,192245
Goiás,GO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,6,8,12,15,20,21,23,27,29,39,49,56,58,61,65,71,73,88,103,115,119,133,158,179,191,209,229,233,284,304,318,335,378,393,403,421,438,453,486,506,573,616,661,705,781,808,825,850,861,922,1024,1027,1053,1069,1093,1100,1115,1134,1423,1572,1640,1692,1749,1846,1978,2114,2304,2377,2443,2512,2671,2843,3090,3319,3585,3702,3906,4377,4570,4944,5373,5669,5813,6124,6521,7159,7657,7846,7940,7944,10182,11264,12236,13304,14027,14880,15619,16536,17568,18622,19547,20863,21620,21984,23007,24381,25541,26263,26330,28494,28526,29296,31308,32664,33876,35138,35793,36244,36696,37832,38895,40201,40681,40795,40769,40772,43794,47284,50458,52847,54801,55914,57985,60637,63658,65269,67941,69487,70115,70252,73231,76605,79897,82807,84531,85071,86451,90226,93274,96749,99234,100938,101592,102665,105962,109253,111836,113051,115530,116664,118569,122130,124593,127361,128965,130316,130863,132506,135460,138408,140416,145250,147357,147615,147728,149290,152640,156892,160769,162554,163098,165436,170064,172747,176801,180926,182856,183815,185359,187519,192157,195418,197857,199601,199784,202754,206707,209411
Mato Grosso,MT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,7,8,11,11,13,16,18,25,27,36,44,56,60,76,78,90,108,112,121,123,134,138,151,156,162,171,174,181,181,183,221,240,247,250,257,261,292,297,320,331,337,344,365,379,417,457,502,519,541,591,661,719,779,851,901,937,995,1054,1172,1220,1352,1462,1500,1628,1839,1951,2103,2361,2429,2541,2709,2848,3194,3481,3662,3878,4100,4339,4602,5092,5363,5524,5861,6185,6388,7124,7512,8353,8962,9470,10021,10659,11443,12157,13026,13805,14687,15086,15636,16621,17727,18854,20098,20891,21496,22406,23835,25264,26396,27636,28411,28792,29279,30319,31111,32971,32707,34136,35639,37077,38772,40755,42206,42935,43331,44838,46545,48317,50447,51865,52790,53363,54711,56169,58506,59841,62785,62826,63416,65198,67061,68924,70658,72269,72761,73269,74509,75877,77276,78733,80134,80938,81253,82532,84277,85709,87484,89140,89962,90337,91346,92856,94302,95430,96980,97636,97819,98206,99484,100895,102328,103929,104671,104913,106077,107486,108890,110147,111628,112242,112607,114041,115403,116700,117944,119122,119765,120030,121145,122376,123416
