,,26/2,27/2,28/2,29/2,1/3,2/3,3/3,4/3,5/3,6/3,7/3,8/3,9/3,10/3,11/3,12/3,13/3,14/3,15/3,16/3,17/3,18/3,19/3,20/3,21/3,22/3,23/3,24/3,25/3,26/3,27/3,28/3,29/3,30/3,31/3,1/4,2/4,3/4,4/4,5/4,6/4,7/4,8/4,9/4,10/4,11/4,12/4,13/4,14/4,15/4,16/4,17/4,18/4,19/4,20/4,21/4,22/4,23/4,24/4,25/4,26/4,27/4,28/4,29/4,30/4,1/5,2/5,3/5,4/5,5/5,6/5,7/5,8/5,9/5,10/5,11/5,12/5,13/5,14/5,15/5,16/5,17/5,18/5,19/5,20/5,21/5,22/5,23/5,24/5,25/5,26/5,27/5,28/5,29/5,30/5,31/5,1/6,2/6,3/6,4/6,5/6,6/6,7/6,8/6,9/6,10/6,11/6,12/6,13/6,14/6,15/6,16/6,17/6,18/6,19/6,20/6,21/6,22/6,23/6,24/6,25/6,26/6,27/6,28/6,29/6,30/6,1/7,2/7,3/7,4/7,5/7,6/7,7/7,8/7,9/7,10/7,11/7,12/7,13/7,14/7,15/7,16/7,17/7,18/7,19/7,20/7,21/7,22/7,23/7,24/7,25/7,26/7,27/7,28/7,29/7,30/7,31/7,1/8,2/8,3/8,4/8,5/8,6/8,7/8,8/8,9/8,10/8,11/8,12/8,13/8,14/8,15/8
Minas Gerais,MG,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,3,2,8,14,6,3,45,45,2,3,20,36,16,26,30,14,39,56,27,33,68,27,34,55,41,43,52,56,9,69,19,55,63,56,77,35,41,53,25,111,62,67,38,63,109,69,108,88,95,229,105,153,165,173,180,114,83,115,298,217,246,278,137,84,282,309,310,399,343,330,294,554,495,675,546,398,834,206,269,1071,1024,961,944,764,180,219,1399,947,1658,508,767,347,296,1323,1559,1146,1253,336,1277,979,1446,1426,6122,2075,1775,1123,1137,2583,3123,2644,2607,2325,1343,1271,3138,2829,3222,3727,2038,971,1821,3367,2460,2801,3604,2097,1160,1434,3175,3827,4244,3281,2478,1147,2927,2749,4021,3691,2879,2816,942,1985,3933,3167,4495,3400,3204,1148,1476,3934,4430,3513,3086
Rio de Janeiro,RJ,0,0,0,0,0,0,0,0,1,0,1,1,5,0,5,3,0,6,2,7,2,12,20,44,10,67,47,72,65,51,72,65,42,57,51,124,160,82,172,148,67,227,250,278,248,143,248,376,179,333,201,405,194,222,134,407,246,620,110,546,283,833,560,365,584,713,380,593,582,670,904,861,1585,1188,133,877,547,242,739,520,1614,637,4427,1140,2567,1717,1500,944,3379,1386,726,2374,2488,3067,4467,968,1142,2202,2508,1692,2134,1467,3223,1743,3480,1394,1402,2009,1052,736,1374,2397,3620,354,6061,2159,596,1439,3297,2624,2404,2600,306,2495,585,728,2667,1545,2133,1484,852,587,2207,2243,1995,1119,232,9,2360,778,1627,124,657,0,3294,2481,4116,3502,2926,3330,1414,32,1509,1805,2008,1995,1853,1718,12,839,847,3768,1385,1632,2828,326,1166,2547,3047,2475,1806,723
São Paulo,SP,0,0,0,1,0,0,0,1,3,4,3,3,0,3,11,12,14,9,71,16,12,76,46,110,63,172,114,65,52,190,171,183,45,66,822,642,525,542,418,154,246,816,1026,772,736,203,336,140,476,1672,525,1273,1053,373,313,805,529,826,1086,2178,711,981,2345,2117,2540,1676,800,598,415,1866,3800,2075,1902,2581,1033,687,1588,3378,3189,4092,2805,1162,721,2929,3864,3880,3132,3687,1603,1464,2392,3466,6382,5691,5586,2556,1598,6999,5188,5717,5365,5984,2524,1520,5545,6178,6204,5380,4975,5327,3258,8825,1232,1111,19030,4135,3392,2788,7502,9347,9765,9921,7073,6156,3408,6235,8555,12244,8523,1828,7649,2891,9638,8657,8350,9395,7780,5107,2610,12000,6569,8872,5367,4612,3022,1385,6235,16777,12561,11211,16263,4501,3672,0,26543,14809,13298,10014,6367,1533,15371,9676,13405,9709,13352,5395,1289,11147,15619,19274,11667,11408
Sudeste,(SE),0,0,0,1,0,0,0,1,4,5,4,5,5,3,16,15,15,15,73,26,16,104,82,162,89,284,209,143,126,261,287,270,120,165,899,817,765,670,637,383,368,1092,1349,1137,1054,447,674,572,757,2118,978,1843,1399,819,551,1297,929,1521,1325,3000,1169,1945,3046,2824,3551,2694,1591,1387,1366,2817,5023,3371,4064,4119,1467,1867,2518,4232,4557,5243,5094,2085,5645,4887,7139,6693,5673,5372,5401,3502,4196,6930,10264,10004,10985,4611,3325,10552,9737,9206,9675,9236,7180,4483,10549,10351,9438,10075,7210,7339,6119,12889,7664,4254,27708,8621,4966,6430,12821,15071,15360,20049,9454,12457,6530,9896,15733,18331,14749,7053,11396,5975,15267,15877,14646,15083,12619,7717,7021,15933,12702,13222,10168,8886,8891,6120,12683,24541,20234,20031,21702,7613,7165,6159,32405,22141,20249,15133,9619,4291,19197,18410,19258,17216,20803,9570,4881,16577,23877,27375,18143,15876
Paraná,PR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,7,10,9,11,7,6,9,16,21,17,14,15,7,24,45,28,49,94,43,20,45,36,70,34,33,62,18,35,12,29,42,71,42,20,17,39,19,37,21,16,30,85,77,59,40,45,22,48,26,39,29,55,74,50,14,57,90,67,76,103,44,74,121,135,194,129,160,113,119,181,200,272,252,237,214,148,328,331,326,528,257,292,134,283,517,626,248,528,350,133,841,528,834,866,877,839,623,729,1110,858,851,1147,923,584,1551,1348,2079,1862,2404,889,1310,1539,1407,1709,2088,1285,1740,1045,1781,1761,2281,1916,2232,1076,1280,1629,2389,2077,2255,1334,1627,781,1391,1528,2568,2624,1818,1675,1260,1853,2599,1952,1630,0,1067,4158,1819,1842,1882,2177,1927
Rio Grande do Sul,RS,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,2,0,0,4,9,9,9,23,12,14,12,25,45,27,2,29,15,33,32,28,62,14,8,63,27,47,63,18,4,13,11,36,47,33,22,29,23,35,15,19,71,67,35,70,62,58,82,98,63,90,47,45,104,235,79,318,46,49,34,341,0,80,600,98,40,0,15,1223,500,445,418,134,89,226,263,1186,0,1008,90,0,587,479,612,573,454,98,115,552,817,549,216,243,34,777,1033,657,694,765,551,210,362,1154,1145,1051,1054,886,243,416,1282,1230,1024,1176,1248,336,446,1399,1757,877,1056,1230,520,416,1337,1246,3105,1366,137,266,336,2391,3233,1768,2166,2111,661,265,2303,2149,1977,219,3764,584,439,2139,2945,2274,189,4569,396,43,3381,2634,2511,2582,2303
Santa Catarina,SC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,1,0,3,10,1,30,6,11,39,2,13,27,35,10,3,22,16,12,34,53,23,22,38,40,44,192,39,36,9,49,27,31,42,36,13,50,38,28,24,55,39,26,102,139,519,90,19,242,0,173,104,294,165,123,167,57,100,204,95,504,230,116,98,399,238,86,111,848,149,89,179,141,356,628,530,248,259,461,162,374,498,314,439,280,0,627,402,359,212,131,64,600,442,613,558,749,786,474,355,1307,1677,1030,996,861,556,692,1298,925,1296,1686,1670,1038,853,1520,1468,1598,1698,1920,1005,784,2235,1926,1805,1768,982,805,1078,2061,3081,2726,2735,2316,1397,1408,3633,3230,3903,3169,2849,1060,907,3268,3253,3224,2948,3167,1186,993,2594,2879,2631,3151,1818
Sul,(S),0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,8,2,4,2,1,4,19,29,19,64,25,31,60,43,79,71,51,54,25,79,93,68,145,161,74,105,110,123,177,244,76,111,38,120,86,93,106,136,78,105,70,86,114,159,95,112,194,282,678,247,122,377,69,266,234,568,273,496,287,156,148,602,185,651,906,317,182,473,374,1444,805,1422,727,336,387,548,819,2086,782,1493,563,609,1077,1184,1436,1415,1150,670,249,1462,1736,1534,676,902,448,1510,2316,1798,2086,2380,2214,1523,1340,3190,3932,2939,2901,2894,1722,1692,4131,3503,4399,4724,5322,2263,2609,4458,4632,4184,4842,4435,3265,2245,5353,4933,7191,5050,3351,2147,2694,6081,8703,6571,7156,5761,3685,2454,7327,6907,8448,6012,8431,3319,2606,7260,8797,7450,4767,7736,2649,5194,7794,7355,7024,7910,6048
Distrito Federal,DF,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,4,2,5,9,4,16,45,13,17,16,27,0,40,30,30,29,23,20,23,15,32,52,14,5,19,17,18,28,24,35,24,13,31,34,30,16,65,45,9,65,17,26,24,53,80,67,62,81,110,100,83,119,50,88,352,184,134,106,101,196,213,224,371,353,228,251,234,308,381,406,303,387,292,280,551,539,422,752,306,730,746,764,903,1285,1642,773,6,1461,1343,1074,889,563,912,813,1696,1760,1381,2381,1336,989,921,1220,1886,1617,2455,1440,2139,2166,2147,1458,1605,1715,1764,2094,2529,2311,1620,1363,1620,1109,2306,1572,1370,1725,2242,1779,1763,1249,1875,1789,1725,2222,2391,1773,2145,2148,2246,1616,2100,1850,1630,2106,2016,1880,2042,2034,1903,1921,1233,3012,1415,1700,1986,1996,1848
Goiás,GO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,2,4,3,5,1,2,4,2,10,10,7,2,3,4,6,2,15,15,12,4,14,25,21,12,18,20,4,51,20,14,17,43,15,10,18,17,15,33,20,67,43,45,44,76,27,17,25,11,61,102,3,26,16,24,7,15,19,289,149,68,52,57,97,132,136,190,73,66,69,159,172,247,229,266,117,204,471,193,374,429,296,144,311,397,638,498,189,94,4,2238,1082,972,1068,723,853,739,917,1032,1054,925,1316,757,364,1023,1374,1160,722,67,2164,32,770,2012,1356,1212,1262,655,451,452,1136,1063,1306,480,114,-26,3,3022,3490,3174,2389,1954,1113,2071,2652,3021,1611,2672,1546,628,137,2979,3374,3292,2910,1724,540,1380,3775,3048,3475,2485,1704
Mato Grosso,MT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,5,1,3,0,2,3,2,7,2,9,8,12,4,16,2,12,18,4,9,2,11,4,13,5,6,9,3,7,0,2,38,19,7,3,7,4,31,5,23,11,6,7,21,14,38,40,45,17,22,50,70,58,60,72,50,36,58,59,118,48,132,110,38,128,211,112,152,258,68,112,168,139,346,287,181,216,222,239,263,490,271,161,337,324,203,736,388,841,609,508,551,638,784,714,869,779,882,399,550,985,1106,1127,1244,793,605,910,1429,1429,1132,1240,775,381,487,1040,792,1860,-264,1429,1503,1438,1695,1983,1451,729,396,1507,1707,1772,2130,1418,925,573,1348,1458,2337,1335,2944,41,590,1782,1863,1863,1734,1611,492
Mato Grosso do Sul,MS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,0,2,7,5,0,2,1,1,3,3,5,8,4,3,2,7,2,3,1,14,5,4,8,3,1,12,2,6,10,12,18,7,3,2,2,11,27,4,17,4,2,9,6,6,5,6,2,9,5,23,15,20,16,23,20,25,22,27,29,62,43,29,51,53,59,53,66,99,77,86,76,94,62,71,79,78,156,123,72,135,121,71,131,142,256,148,234,198,118,234,379,110,392,324,247,154,393,417,322,390,394,220,149,289,711,386,326,522,179,164,434,376,608,590,708,228,264,473,697,699,475,201,397,234,749,1503,782,632,712,499,288,641,968,876,649,803,264,642,1033,637,786,887,719,637,395,823,947,1050,875,1108
Centro-Oeste,(CO),0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,3,4,2,7,14,9,20,51,26,23,18,38,4,54,43,42,39,36,35,34,28,62,81,33,26,49,59,61,52,54,58,51,70,70,63,65,86,90,65,29,86,81,105,55,140,134,118,146,168,166,133,120,139,141,209,416,265,215,163,153,281,327,593,607,522,392,387,418,550,688,703,561,629,498,644,1020,974,897,1338,562,1125,1463,1252,1746,2073,2254,1254,610,2228,2386,2318,1497,1052,1451,3493,3215,3847,2947,4337,3122,2483,2543,3283,4141,3578,5030,3370,3605,3737,4360,4314,3819,3235,5694,3098,4068,5667,4781,4612,4604,3712,3760,2669,3466,4525,5039,4594,1814,3049,3615,6998,8413,8161,6863,5168,4153,6014,7246,7377,6717,6589,4904,3571,4143,7350,8390,7447,8644,4405,3000,6569,7876,7558,8245,6967,5152
