,,26/2,27/2,28/2,29/2,1/3,2/3,3/3,4/3,5/3,6/3,7/3,8/3,9/3,10/3,11/3,12/3,13/3,14/3,15/3,16/3,17/3,18/3,19/3,20/3,21/3,22/3,23/3,24/3,25/3,26/3,27/3,28/3,29/3,30/3,31/3,1/4,2/4,3/4,4/4,5/4,6/4,7/4,8/4,9/4,10/4,11/4,12/4,13/4,14/4,15/4,16/4,17/4,18/4,19/4,20/4,21/4,22/4,23/4,24/4,25/4,26/4,27/4,28/4,29/4,30/4,1/5,2/5,3/5,4/5,5/5,6/5,7/5,8/5,9/5,10/5,11/5,12/5,13/5,14/5,15/5,16/5,17/5,18/5,19/5,20/5,21/5,22/5,23/5,24/5,25/5,26/5,27/5,28/5,29/5,30/5,31/5,1/6,2/6,3/6,4/6,5/6,6/6,7/6,8/6,9/6,10/6,11/6,12/6,13/6,14/6,15/6,16/6,17/6,18/6,19/6,20/6,21/6,22/6,23/6,24/6,25/6,26/6,27/6,28/6,29/6,30/6,1/7,2/7,3/7,4/7,5/7,6/7,7/7,8/7,9/7,10/7,11/7,12/7,13/7,14/7,15/7,16/7,17/7,18/7,19/7,20/7,21/7,22/7,23/7,24/7,25/7,26/7,27/7,28/7,29/7,30/7,31/7,1/8,2/8,3/8,4/8,5/8,6/8,7/8,8/8,9/8,10/8,11/8,12/8,13/8,14/8,15/8
Bahia,BA,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,27,3,8,8,14,13,8,20,11,13,26,22,37,33,21,15,50,69,30,25,41,62,45,31,38,50,36,48,144,108,134,37,111,148,155,145,173,119,128,145,186,106,205,234,230,180,239,306,261,227,290,356,384,250,396,343,408,1173,186,129,138,2432,184,744,616,443,899,305,362,504,893,954,709,766,506,2532,1021,1012,2956,977,854,465,1766,2204,1206,774,1123,613,1219,1586,1720,651,2345,1382,975,807,1998,2847,2360,2131,8822,3251,972,3840,3178,2864,2965,3171,1563,1231,3675,3582,2783,2867,3002,1575,1128,3138,2964,3380,2284,1581,1931,1123,3552,6401,5113,4409,3632,1780,930,4204,4021,4296,4524,2772,1550,915,3998,4348,3953,4202,3509,1628,1068,4670,4253,3935,4038,3386
Ceará,CE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,11,35,13,44,51,19,18,35,47,32,34,24,18,54,106,77,103,93,190,38,240,134,53,104,94,124,205,152,229,298,350,218,230,234,194,688,202,621,412,893,192,349,339,273,430,61,2670,430,834,1584,1068,923,813,907,813,744,1921,1413,1305,460,2108,1749,2448,853,3160,549,473,590,836,254,546,574,8111,1983,2015,2569,2983,3739,1800,1980,696,1334,2779,3018,2477,1826,724,319,2714,1827,3678,2306,2590,2293,710,1292,3370,2050,2548,2296,2206,940,657,474,4318,2507,2517,2911,512,1013,2475,3519,2529,2546,2399,840,421,2231,1811,2752,1938,606,428,594,1420,4122,3134,2582,2773,488,344,3121,3522,2396,2414,2046,652,381,2380,2102,1858,2108,2835,298,115,1893,1872,1659,2063,1237
Maranhão,MA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,6,0,2,3,1,2,7,8,23,17,10,7,8,37,39,58,43,20,51,54,47,33,152,65,102,243,165,115,76,208,153,194,154,118,187,118,276,386,316,299,235,187,303,498,361,520,856,834,545,382,586,689,938,853,900,746,960,916,944,1154,1555,2424,1595,1492,1867,1834,2503,2138,2019,658,1328,1549,2455,2684,2157,2123,1778,2698,1439,2172,1925,1254,991,742,2119,2024,1356,2409,1173,386,630,1332,1293,1611,1773,1417,397,457,1482,2805,2769,2189,843,657,537,1837,851,2384,1395,1680,554,878,1637,1002,1657,1057,909,233,581,1248,1577,1757,1195,880,328,694,1403,1706,1568,1399,920,372,529,1405,1572,1606,1781,854,436,430,1494,1205,928,1131,956
Paraíba,PB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,2,4,5,0,1,2,3,1,8,3,2,1,1,5,14,24,6,16,10,25,15,14,30,10,31,9,18,38,44,41,61,52,44,90,66,115,112,108,135,50,142,132,164,374,125,185,184,252,268,316,378,324,284,439,514,538,400,644,626,315,193,903,1290,923,879,851,300,533,1164,1159,1561,1000,1208,523,641,1501,1580,1338,1186,898,559,655,1460,1584,48,3333,1428,263,469,1746,913,912,2008,1410,437,378,1900,1218,1361,1229,1541,422,423,1651,1542,1270,1504,1303,363,324,1354,1477,1484,924,624,411,298,1164,2128,2132,1446,1173,430,540,1482,1723,1210,1686,667,547,203,1549,1311,796,1250,776,189,284,1453,1078,897,866,928
Pernambuco,PE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,14,0,12,2,0,7,5,0,4,2,8,12,5,5,9,8,11,30,40,25,22,129,49,154,129,132,144,194,130,200,199,323,187,266,231,218,390,221,480,508,391,460,366,470,682,458,811,498,220,462,556,943,763,883,805,493,541,592,687,621,2279,964,642,1148,1318,1351,1849,1026,973,607,488,1065,794,1542,1172,1023,450,608,955,1044,1004,850,881,463,305,925,1059,878,799,590,246,920,1019,1180,1094,1398,995,381,337,1191,1114,668,1285,1018,369,382,847,1414,1243,1095,1672,513,509,1453,1163,1333,1270,1100,431,675,1384,1131,1332,1086,943,663,326,941,1858,1802,1710,1714,666,546,1858,1837,1632,1741,1224,431,432,1488,1074,1477,1241,1021,247,601,1393,1467,1567,1364
Piauí,PI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,2,0,2,1,0,2,3,2,2,0,1,2,1,1,0,5,3,7,2,1,3,6,8,17,16,11,21,22,13,28,20,11,39,41,34,33,44,46,59,87,65,77,42,91,74,102,80,102,45,54,111,169,172,121,180,167,35,153,197,215,222,184,132,160,170,246,277,260,242,186,188,387,322,236,653,388,373,143,306,432,464,514,488,328,204,524,678,540,468,1246,451,212,793,958,853,943,642,493,595,669,1637,1248,1069,1185,518,432,1003,897,1334,1524,1196,498,396,797,1289,1097,515,1511,728,310,670,1539,1364,1170,1040,655,540,967,1411,1236,1279,981,535,231,1219,1476,1181,1290,1181,411,196,966,1321,1197,933,1043
Rio Grande do Norte,RN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,3,4,0,1,5,9,17,23,9,5,10,13,71,36,30,4,8,7,0,2,26,13,37,37,23,1,63,53,15,64,13,38,62,46,27,44,7,25,229,91,120,69,26,29,115,38,165,82,98,9,61,44,334,170,249,218,133,47,299,313,264,191,348,98,62,713,158,0,833,939,649,-87,269,916,133,158,9,3,1436,139,541,1666,267,288,382,43,998,0,677,150,3167,84,667,118,1699,891,1066,522,203,5265,566,1612,998,524,836,388,339,836,691,549,1205,351,805,379,541,313,324,325,2148,315,191,310,917,872,627,243,173,192,1083,677,616,749,1141,288,185,536,924,616,611,433,140,130,2501,-1349,500,395,193
Sergipe,SE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,1,1,0,4,0,0,5,1,0,0,0,0,0,3,1,3,2,2,5,0,4,0,3,3,0,2,0,1,1,2,5,18,12,3,6,25,7,20,9,6,38,83,57,110,70,84,129,42,126,100,216,224,150,183,29,232,236,226,374,267,208,223,401,310,457,188,209,183,134,287,177,244,306,343,194,234,322,434,211,377,395,318,437,399,489,441,478,1332,1102,1707,635,497,531,470,641,536,399,499,470,728,827,1411,1102,396,594,504,697,1574,1575,456,501,922,850,926,1297,1333,1585,590,946,972,1087,662,1184,2171,816,1051,1030,1257,1735,1132,339,1009,1397,1205,1470,1029,1011,311,444,590,917,858,884,543,422,281,481,410,945,415,476
Nordeste,(NE),0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,2,1,0,1,0,23,5,55,44,34,63,77,46,36,67,82,85,96,70,85,132,173,219,243,238,287,250,408,417,286,354,364,470,497,618,677,961,1038,793,788,780,1101,1412,1284,1628,1238,1896,1238,1779,2074,1852,2242,1410,3576,2043,2590,3926,3567,3632,3344,2608,3008,3453,4800,5507,5993,3468,4593,7941,6345,5707,8410,5268,6081,4114,5627,6083,5986,8414,15110,8185,5046,9901,10187,11081,11472,8845,6659,6697,11380,11611,11847,8679,7762,6196,8293,10739,12435,8055,14132,13520,5359,5595,11046,12403,11852,12511,18372,8632,9894,10752,16976,14367,14386,14008,6868,5623,13863,14183,13807,14439,13208,8017,5513,12028,12071,13782,9556,9979,7655,4805,10385,19384,18336,16150,13600,6553,5743,15141,17105,15484,15458,12546,6727,3857,12682,14981,12841,14426,12204,5410,3375,14757,10999,12406,12011,10427
Espirito Santo,ES,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8,2,2,13,0,3,4,6,0,8,6,7,12,12,12,24,19,14,13,28,15,18,46,27,49,34,47,33,94,197,102,96,147,69,44,101,50,18,214,108,93,78,233,358,197,323,101,140,176,166,270,404,170,187,220,268,314,412,385,397,149,413,536,399,786,642,398,89,358,524,595,719,700,534,253,379,1082,970,773,1215,841,669,1040,1305,1380,885,1028,675,509,1140,1371,1489,1230,1471,1074,642,926,1043,1654,1765,1406,0,2031,1414,1796,1928,1419,1449,1134,570,1154,2151,1839,1472,1347,880,563,1080,1334,1139,1766,1343,670,478,1094,898,1087,920,1246,744,602,837,1427,1105,1316,1407,522,424,977,994,1033,1301,1380,1223,645,1278,1407,1277,1196,1157,659
