,Brasil,Acre,Amapá,Amazonas,Pará,Rondônia,Roraima,Tocantins,Norte,Alagoas,Bahia,Ceará,Maranhão,Paraíba,Pernambuco,Piauí,Rio Grande do Norte,Sergipe,Nordeste,Espirito Santo,Minas Gerais,Rio de Janeiro,São Paulo,Sudeste,Paraná,Rio Grande do Sul,Santa Catarina,Sul,Distrito Federal,Goiás,Mato Grosso,Mato Grosso do Sul,Centro-Oeste
,BR,AC,AP,AM,PA,RO,RR,TO,(N),AL,BA,CE,MA,PB,PE,PI,RN,SE,(NE),ES,MG,RJ,SP,(SE),PR,RS,SC,(S),DF,GO,MT,MS,(CO)
13/10,150998,675,727,4254,6657,1406,670,1012,15401,2151,7188,9140,3885,2944,8417,2237,2423,2107,40492,3680,8145,19336,37314,68475,4805,5167,2927,12899,3466,5211,3605,1449,13731
14/10,151747,676,728,4268,6661,1411,676,1021,15441,2157,7214,9178,3896,2958,8438,2249,2428,2113,40631,3688,8171,19440,37541,68840,4822,5237,2940,12999,3488,5261,3623,1464,13836
15/10,152460,677,729,4289,6667,1416,677,1030,15485,2162,7243,9192,3906,2970,8456,2261,2436,2118,40744,3692,8267,19555,37690,69204,4880,5282,2952,13114,3499,5306,3639,1469,13913
16/10,153214,679,730,4305,6670,1421,680,1035,15520,2167,7267,9199,3914,2977,8469,2269,2547,2124,40933,3704,8345,19654,37870,69573,4913,5312,2962,13187,3526,5348,3649,1478,14001
17/10,153675,679,731,4325,6676,1421,681,1042,15555,2172,7288,9207,3923,2985,8480,2278,2551,2129,41013,3709,8405,19715,37992,69821,4921,5342,2966,13229,3539,5374,3658,1486,14057
18/10,153905,679,731,4332,6677,1421,681,1044,15565,2177,7316,9210,3930,2993,8487,2286,2552,2134,41085,3713,8446,19765,38020,69944,4923,5346,2967,13236,3545,5374,3663,1493,14075
19/10,154176,679,734,4350,6682,1427,681,1048,15601,2182,7342,9211,3939,3001,8490,2295,2552,2139,41151,3728,8453,19770,38035,69986,4937,5388,2976,13301,3561,5401,3678,1497,14137
20/10,154837,682,734,4363,6686,1429,686,1055,15635,2187,7363,9218,3949,3010,8505,2304,2553,2145,41234,3740,8483,19836,38246,70305,4999,5452,2991,13442,3575,5444,3690,1512,14221
21/10,155403,682,736,4372,6690,1429,689,1063,15661,2192,7384,9227,3960,3020,8519,2314,2556,2151,41323,3754,8554,19945,38371,70624,5035,5482,2998,13515,3587,5472,3703,1518,14280
22/10,155900,685,738,4396,6697,1430,690,1072,15708,2196,7407,9243,3968,3029,8527,2322,2558,2157,41407,3759,8621,20021,38482,70883,5047,5518,3011,13576,3600,5491,3711,1524,14326
23/10,156471,686,740,4426,6704,1431,691,1078,15756,2201,7432,9244,3978,3038,8531,2327,2558,2163,41472,3773,8686,20115,38608,71182,5084,5554,3015,13653,3613,5539,3718,1538,14408
24/10,156903,686,741,4433,6717,1434,691,1082,15784,2206,7453,9246,3987,3047,8542,2340,2562,2168,41551,3780,8732,20171,38726,71409,5092,5581,3024,13697,3623,5564,3727,1548,14462
25/10,157134,687,741,4446,6722,1436,691,1084,15807,2211,7475,9248,3994,3054,8552,2347,2562,2172,41615,3786,8770,20203,38747,71506,5102,5581,3028,13711,3633,5575,3734,1553,14495
26/10,157397,689,741,4460,6725,1442,691,1084,15832,2216,7497,9279,4003,3062,8564,2352,2563,2178,41714,3799,8779,20213,38753,71544,5107,5615,3041,13763,3641,5599,3749,1555,14544
27/10,157946,690,743,4478,6729,1448,691,1089,15868,2221,7519,9305,4014,3070,8575,2363,2564,2184,41815,3816,8789,20292,38885,71782,5129,5665,3059,13853,3653,5648,3761,1566,14628
28/10,158456,691,744,4491,6733,1449,692,1092,15892,2226,7546,9325,4024,3076,8587,2368,2569,2190,41911,3826,8872,20376,39007,72081,5147,5699,3068,13914,3661,5654,3773,1570,14658
29/10,158969,692,746,4516,6736,1454,692,1095,15931,2230,7571,9326,4034,3083,8599,2382,2573,2195,41993,3841,8916,20462,39119,72338,5174,5729,3077,13980,3670,5690,3786,1581,14727
30/10,159477,693,747,4528,6738,1455,692,1097,15950,2234,7600,9337,4044,3091,8609,2392,2575,2201,42083,3847,8962,20565,39255,72629,5205,5729,3094,14028,3676,5732,3791,1588,14787
31/10,159884,693,748,4543,6743,1457,692,1097,15973,2238,7622,9353,4053,3101,8627,2400,2577,2206,42177,3855,9015,20600,39311,72781,5216,5797,3114,14127,3683,5753,3798,1592,14826
